Pref,year,F1.prop,Pref.name
5101,1975,0.007552587,Chengdu
5101,1978,0.122532225,Chengdu
5101,1981,0.351131389,Chengdu
5101,1984,0.328937109,Chengdu
5101,1987,0.157384315,Chengdu
5101,1990,0.060238456,Chengdu
5101,1993,0.022319389,Chengdu
5101,1996,0.010753913,Chengdu
5101,1999,0.006129079,Chengdu
5103,1975,0.005010537,Zigong
5103,1978,0.119413266,Zigong
5103,1981,0.383967176,Zigong
5103,1984,0.352989745,Zigong
5103,1987,0.133177056,Zigong
5103,1990,0.041486041,Zigong
5103,1993,0.017124169,Zigong
5103,1996,0.009531586,Zigong
5103,1999,0.004961523,Zigong
5104,1975,0.012178613,Panzhihua
5104,1978,0.113010144,Panzhihua
5104,1981,0.298207376,Panzhihua
5104,1984,0.32633178,Panzhihua
5104,1987,0.201284404,Panzhihua
5104,1990,0.080659502,Panzhihua
5104,1993,0.028003585,Panzhihua
5104,1996,0.012432435,Panzhihua
5104,1999,0.004005798,Panzhihua
5105,1975,0.007071062,Luzhou
5105,1978,0.118857461,Luzhou
5105,1981,0.34703315,Luzhou
5105,1984,0.324177989,Luzhou
5105,1987,0.155602917,Luzhou
5105,1990,0.066807751,Luzhou
5105,1993,0.028417371,Luzhou
5105,1996,0.013767765,Luzhou
5105,1999,0.007554444,Luzhou
5106,1975,0.008726161,Deyang
5106,1978,0.142235658,Deyang
5106,1981,0.403755387,Deyang
5106,1984,0.339661607,Deyang
5106,1987,0.143137834,Deyang
5106,1990,0.049456665,Deyang
5106,1993,0.017927965,Deyang
5106,1996,0.008669258,Deyang
5106,1999,0.003951698,Deyang
5107,1975,0.022489579,Mianyang
5107,1978,0.178872264,Mianyang
5107,1981,0.399100844,Mianyang
5107,1984,0.309760194,Mianyang
5107,1987,0.134073088,Mianyang
5107,1990,0.049212797,Mianyang
5107,1993,0.018746002,Mianyang
5107,1996,0.009182214,Mianyang
5107,1999,0.005365202,Mianyang
5108,1975,0.021991572,Guangyuan
5108,1978,0.179944749,Guangyuan
5108,1981,0.394866787,Guangyuan
5108,1984,0.30847821,Guangyuan
5108,1987,0.140613505,Guangyuan
5108,1990,0.054224739,Guangyuan
5108,1993,0.018999646,Guangyuan
5108,1996,0.008168608,Guangyuan
5108,1999,0.004021038,Guangyuan
5109,1975,0.023584659,Suining
5109,1978,0.177542413,Suining
5109,1981,0.402456373,Suining
5109,1984,0.316039945,Suining
5109,1987,0.130420188,Suining
5109,1990,0.042713724,Suining
5109,1993,0.014301007,Suining
5109,1996,0.007008854,Suining
5109,1999,0.004681793,Suining
5110,1975,0.004665654,Neijiang
5110,1978,0.114228569,Neijiang
5110,1981,0.364988476,Neijiang
5110,1984,0.332345438,Neijiang
5110,1987,0.139294153,Neijiang
5110,1990,0.049841215,Neijiang
5110,1993,0.019623446,Neijiang
5110,1996,0.009570419,Neijiang
5110,1999,0.005516934,Neijiang
5111,1975,0.008171033,Leshan
5111,1978,0.1424233,Leshan
5111,1981,0.385430494,Leshan
5111,1984,0.292343686,Leshan
5111,1987,0.110824104,Leshan
5111,1990,0.041431378,Leshan
5111,1993,0.018606649,Leshan
5111,1996,0.010121108,Leshan
5111,1999,0.004370686,Leshan
5113,1975,0.018555831,Nanchong
5113,1978,0.151482666,Nanchong
5113,1981,0.366840499,Nanchong
5113,1984,0.291661503,Nanchong
5113,1987,0.113468041,Nanchong
5113,1990,0.036761913,Nanchong
5113,1993,0.013130179,Nanchong
5113,1996,0.006117382,Nanchong
5113,1999,0.004189569,Nanchong
5114,1975,0.010476977,Meishan
5114,1978,0.158459668,Meishan
5114,1981,0.429329043,Meishan
5114,1984,0.273321662,Meishan
5114,1987,0.080180036,Meishan
5114,1990,0.025193163,Meishan
5114,1993,0.012057163,Meishan
5114,1996,0.008119342,Meishan
5114,1999,0.004144812,Meishan
5115,1975,0.008048411,Yibin
5115,1978,0.127535511,Yibin
5115,1981,0.350190157,Yibin
5115,1984,0.311241985,Yibin
5115,1987,0.151600248,Yibin
5115,1990,0.067518192,Yibin
5115,1993,0.028713137,Yibin
5115,1996,0.013688822,Yibin
5115,1999,0.007215373,Yibin
5116,1975,0.016473139,Guang'an
5116,1978,0.139924366,Guang'an
5116,1981,0.345120045,Guang'an
5116,1984,0.301530454,Guang'an
5116,1987,0.13902907,Guang'an
5116,1990,0.054302417,Guang'an
5116,1993,0.02315494,Guang'an
5116,1996,0.013356796,Guang'an
5116,1999,0.007850958,Guang'an
5117,1975,0.016463919,Dazhou
5117,1978,0.136585052,Dazhou
5117,1981,0.339521137,Dazhou
5117,1984,0.287418934,Dazhou
5117,1987,0.127884591,Dazhou
5117,1990,0.04463216,Dazhou
5117,1993,0.016259967,Dazhou
5117,1996,0.008413565,Dazhou
5117,1999,0.005349223,Dazhou
5118,1975,0.012714997,Yaan
5118,1978,0.142727121,Yaan
5118,1981,0.33208194,Yaan
5118,1984,0.234315685,Yaan
5118,1987,0.10063859,Yaan
5118,1990,0.043956018,Yaan
5118,1993,0.020333292,Yaan
5118,1996,0.011386325,Yaan
5118,1999,0.00460237,Yaan
5119,1975,0.024761894,Bazhong
5119,1978,0.148806824,Bazhong
5119,1981,0.322372795,Bazhong
5119,1984,0.28933011,Bazhong
5119,1987,0.148004152,Bazhong
5119,1990,0.062092325,Bazhong
5119,1993,0.026417089,Bazhong
5119,1996,0.012781535,Bazhong
5119,1999,0.006463577,Bazhong
5120,1975,0.006468566,Ziyang
5120,1978,0.137324818,Ziyang
5120,1981,0.412326368,Ziyang
5120,1984,0.324966488,Ziyang
5120,1987,0.111322483,Ziyang
5120,1990,0.036509464,Ziyang
5120,1993,0.016735938,Ziyang
5120,1996,0.010155113,Ziyang
5120,1999,0.007077554,Ziyang
5132,1975,0.035472766,Aba
5132,1978,0.156238688,Aba
5132,1981,0.319597461,Aba
5132,1984,0.335641552,Aba
5132,1987,0.20004133,Aba
5132,1990,0.083822957,Aba
5132,1993,0.034481351,Aba
5132,1996,0.022048811,Aba
5132,1999,0.016500365,Aba
5133,1975,0.017938094,Ganzi
5133,1978,0.111336646,Ganzi
5133,1981,0.266998806,Ganzi
5133,1984,0.324138097,Ganzi
5133,1987,0.247998711,Ganzi
5133,1990,0.142225289,Ganzi
5133,1993,0.069864064,Ganzi
5133,1996,0.038167471,Ganzi
5133,1999,0.015887047,Ganzi
5134,1975,0.013544087,Liangshan
5134,1978,0.111508786,Liangshan
5134,1981,0.279694341,Liangshan
5134,1984,0.304811769,Liangshan
5134,1987,0.20422248,Liangshan
5134,1990,0.105794838,Liangshan
5134,1993,0.046386623,Liangshan
5134,1996,0.023225841,Liangshan
5134,1999,NA,Liangshan
